Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
ROLLS-ROYCE Black Badge Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,67,74,70,10,Elite
ROLLS-ROYCE Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,74,82,77,10,Elite
ROLLS-ROYCE Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,67,75,70,10,Elite
TOYOTA Camry HEV AWD LE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,51,49,50,8,Yes
TOYOTA Camry HEV AWD SE/XLE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,46,46,46,8,Yes
TOYOTA Camry HEV FF LE,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,53,50,51,8,Yes
TOYOTA Camry HEV FF SE/XLE/XSE,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,48,47,47,8,Yes
VOLVO EC40,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,small SUV,10,118,95,106,10,Elite
VOLVO EC40 Twin,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,small SUV,10,105,88,97,10,Elite
VOLVO EX30 Single Motor Extended Range (18 Inch Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0D,small SUV,10,124,103,114,10,Elite
VOLVO EX30 Single Motor Extended Range(19_20 Inch Wheel),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0D,small SUV,10,127,104,116,10,Elite
VOLVO EX40,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,small SUV,10,118,94,106,10,Elite
VOLVO EX40 Twin,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,small SUV,10,103,85,94,10,Elite
VOLVO S60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,small car,6,30/74,33/73,31/74,9,Yes
VOLVO S90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,midsize car,6,28/66,31/67,29/66,9,Yes
VOLVO V60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,station wagon,6,30/74,33/73,31/74,9,Yes
VOLVO XC60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,small SUV,6,28/66,28/60,28/63,9,Yes
VOLVO XC90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,standard SUV,6,26/59,27/57,27/58,8,Yes
